ts_ms,level,repeat,mem_used_mb,mem_total_mb,load1,proc_count,swap_used_mb,booted
1786835093579,1,1,9606,32768,2.11,225,175.62,0
1786835098886,1,1,11572,32768,6.27,353,170.62,1
1786835104314,1,1,12024,32768,9.53,372,170.62,1
1786835109816,1,1,12208,32768,8.68,382,170.50,1
1786835115067,1,1,13176,32768,22.40,440,166.19,1
1786835122413,1,2,9912,32768,20.92,221,166.12,0
1786835127625,1,2,11998,32768,26.05,346,166.06,1
1786835133006,1,2,12399,32768,25.73,370,166.06,1
1786835138671,1,2,12840,32768,24.87,410,166.06,1
1786835146594,1,2,10191,32768,71.67,228,166.06,0
1786835147658,2,1,9852,32768,71.67,212,166.06,0
1786835153660,2,1,12879,32768,90.73,451,166.06,2
1786835163836,2,1,13737,32768,100.28,497,166.06,2
1786835169374,2,1,14162,32768,117.86,547,166.06,2
1786835177532,2,1,15427,32768,148.14,629,166.06,2
1786835191511,2,1,17710,32768,248.45,717,166.06,2
1786835199851,2,1,10296,32768,318.44,232,166.06,0
1786835202676,2,2,9971,32768,318.44,217,166.06,0
1786835207966,2,2,12595,32768,301.82,404,166.06,2
1786835218896,2,2,13794,32768,290.20,500,166.06,2
1786835224619,2,2,14245,32768,280.74,557,166.06,2
1786835231261,2,2,15175,32768,306.70,617,166.06,2
1786835239938,2,2,17401,32768,353.19,693,166.06,2
1786835251774,2,2,14189,32768,393.22,490,166.06,1
1786835256944,4,1,9995,32768,361.89,214,166.06,0
1786835263246,4,1,12898,32768,342.76,417,165.94,3
1786835276190,4,1,16225,32768,411.74,724,165.94,4
1786835287851,4,1,16440,32768,413.12,747,165.94,4
1786835299074,4,1,17800,32768,462.91,850,165.94,4
1786835309099,4,1,19213,32768,492.38,896,165.94,4
1786835314834,4,1,19430,32768,487.96,908,165.94,4
1786835320244,4,1,19693,32768,466.02,916,165.94,4
1786835325967,4,1,16428,32768,450.81,935,165.94,4
1786835333630,4,1,17721,32768,446.90,980,165.94,4
1786835339855,4,1,17953,32768,430.31,987,165.94,4
1786835345622,4,1,18601,32768,432.04,1022,165.94,4
1786835352739,4,1,18065,32768,426.03,1079,165.94,4
1786835364331,4,1,18056,32768,544.04,1165,165.94,4
1786835375121,4,1,18294,32768,596.71,1179,165.94,4
1786835381932,4,1,18326,32768,620.11,1207,165.94,4
1786835388615,4,1,12610,32768,636.52,742,165.94,2
1786835394349,4,1,6451,32768,615.50,222,165.94,0
1786835397208,4,2,6238,32768,566.45,212,165.94,0
1786835403023,4,2,8145,32768,530.38,450,165.94,4
1786835422097,4,2,11751,32768,547.84,726,165.94,4
1786835428447,4,2,11784,32768,545.61,731,165.94,4
1786835433957,4,2,12352,32768,520.57,799,165.94,4
1786835444565,4,2,13588,32768,605.31,873,165.94,4
1786835451426,4,2,14122,32768,602.48,894,165.94,4
1786835457002,4,2,14347,32768,575.61,908,165.94,4
1786835462276,4,2,14499,32768,539.69,911,165.94,4
1786835468487,4,2,15319,32768,522.34,951,165.94,4
1786835482006,4,2,17552,32768,541.64,1045,165.94,4
1786835493915,4,2,17887,32768,586.69,1121,165.94,4
1786835501407,4,2,18599,32768,625.07,1160,165.94,4
1786835512544,4,2,18479,32768,721.02,1200,165.94,4
1786835519896,4,2,19169,32768,813.39,1213,165.94,4
1786835526161,4,2,11971,32768,801.82,721,165.94,2
1786835532235,4,2,6516,32768,748.67,233,165.94,0
1786835534936,8,1,6275,32768,689.03,215,165.94,0
1786835541791,8,1,8206,32768,643.63,414,165.94,3
1786835558143,8,1,12089,32768,645.65,787,165.94,6
1786835576947,8,1,15079,32768,781.51,1059,165.94,8
1786835600479,8,1,18278,32768,216.75,1319,165.94,8
1786835617512,8,1,19178,32768,843.20,1415,165.88,8
1786835634113,8,1,19732,32768,285.32,1478,165.88,8
1786835643267,8,1,19936,32768,445.77,1531,165.88,8
1786835652423,8,1,20556,32768,665.52,1563,165.88,8
1786835658446,8,1,20619,32768,697.99,1581,165.88,8
1786835664229,8,1,20644,32768,697.35,1588,165.88,8
1786835669871,8,1,20706,32768,663.80,1591,165.88,8
1786835675447,8,1,20722,32768,667.26,1591,165.88,8
1786835682325,8,1,20730,32768,663.24,1592,165.88,8
1786835687898,8,1,20718,32768,657.61,1597,165.88,8
1786835693389,8,1,20721,32768,655.00,1602,165.88,8
1786835698936,8,1,20720,32768,645.07,1603,165.88,8
1786835704386,8,1,20719,32768,640.74,1605,165.88,8
1786835710054,8,1,20718,32768,637.45,1614,165.88,8
1786835716386,8,1,20712,32768,659.84,1614,165.81,8
1786835732485,8,1,20753,32768,734.27,1613,165.81,8
1786835747116,8,1,20755,32768,806.36,1620,165.81,8
1786835755086,8,1,20808,32768,844.70,1622,165.81,8
1786835761790,8,1,20860,32768,839.76,1630,165.81,8
1786835768546,8,1,20912,32768,828.41,1641,165.81,8
1786835778790,8,1,21707,32768,847.22,1699,165.81,8
1786835789984,8,1,21760,32768,898.75,1743,165.81,8
1786835806541,8,1,22305,32768,998.81,1789,165.81,8
