ts_ms,level,repeat,mem_used_mb,mem_total_mb,load1,proc_count,swap_used_mb,booted
1786908651844,6,1,16938,32768,840.63,1295,0.00,4
1786908659191,6,1,10914,32768,865.08,779,0.00,2
1786908664533,6,1,8016,32768,813.42,526,0.00,1
1786908668605,6,2,4717,32768,751.49,256,0.00,0
1786908674735,6,2,7467,32768,653.89,458,0.00,3
1786908690478,6,2,12603,32768,638.74,828,0.00,6
1786908706911,6,2,14883,32768,730.17,1034,0.00,6
1786908716546,6,2,15999,32768,790.53,1099,0.00,6
1786908723786,6,2,16529,32768,786.49,1139,0.00,6
1786908729917,6,2,17068,32768,771.15,1161,0.00,6
1786908736674,6,2,17822,32768,720.86,1179,0.00,6
1786908743874,6,2,18193,32768,698.37,1201,0.00,6
1786908751735,6,2,18861,32768,690.14,1247,0.00,6
1786908757969,6,2,18770,32768,697.42,1293,0.00,6
1786908764187,6,2,18777,32768,698.74,1296,0.00,6
1786908769780,6,2,18779,32768,676.26,1304,0.00,6
1786908775465,6,2,18785,32768,625.13,1309,0.00,6
1786908781227,6,2,18807,32768,592.04,1318,0.00,6
1786908787511,6,2,18835,32768,561.45,1360,0.00,6
1786908803598,6,2,19717,32768,646.54,1445,0.00,6
1786908823469,6,2,20326,32768,808.14,1543,0.00,6
1786908839286,6,2,21269,32768,973.81,1593,0.00,6
1786908851901,6,2,20891,32768,24.35,1626,0.00,6
1786908861368,6,2,21115,32768,274.13,1679,0.00,6
1786908873836,6,2,20993,32768,565.13,1695,0.00,6
1786908887494,6,2,20968,32768,737.81,1696,0.00,6
1786908900005,6,2,22227,32768,811.22,1731,0.00,6
1786908908807,6,2,22227,32768,808.40,1762,0.00,6
1786908922009,6,2,22530,32768,886.43,1760,0.00,6
1786908938425,6,2,22893,32768,963.23,1803,0.00,6
1786908949804,6,2,20650,32768,22.03,1757,0.00,6
1786908955644,6,2,21573,32768,168.01,1768,0.00,6
1786908961251,6,2,22580,32768,231.35,1784,0.00,6
1786908967266,6,2,22331,32768,307.40,1811,0.00,6
1786908974996,6,2,23073,32768,473.79,1825,0.00,6
1786908983652,6,2,21120,32768,553.24,1800,0.00,6
1786908989946,6,2,21216,32768,624.65,1801,0.00,6
1786908995607,6,2,21213,32768,755.52,1802,0.00,6
1786909001481,6,2,21221,32768,812.98,1803,0.00,6
1786909007233,6,2,21366,32768,867.35,1805,0.00,6
1786909012986,6,2,21293,32768,914.89,1804,0.00,6
1786909018652,6,2,21435,32768,955.98,1801,0.00,6
1786909024750,6,2,21896,32768,1021.37,1800,0.00,6
1786909032130,6,2,21785,32768,5.51,1801,0.00,6
1786909037728,6,2,21686,32768,76.58,1800,0.00,6
1786909043251,6,2,21786,32768,145.64,1802,0.00,6
1786909049165,6,2,22454,32768,217.10,1825,0.00,6
1786909056779,6,2,22386,32768,359.90,1860,0.00,6
1786909063006,6,2,23198,32768,434.78,1878,0.00,6
1786909069077,6,2,23340,32768,538.66,1889,0.00,6
1786909077341,6,2,23536,32768,730.75,1897,0.00,6
1786909088464,6,2,23850,32768,849.60,1908,0.00,6
1786909098090,6,2,23830,32768,916.37,1914,0.00,6
1786909108751,6,2,23844,32768,956.70,1912,0.00,6
1786909119355,6,2,23851,32768,5.56,1915,0.00,6
1786909130605,6,2,23852,32768,203.63,1913,0.00,6
1786909142572,6,2,21096,32768,359.13,1672,0.00,5
1786909153407,6,2,17518,32768,462.38,1355,0.00,3
1786909161039,6,2,11508,32768,481.90,807,0.00,1
1786909167196,6,2,5113,32768,443.55,266,0.00,0
1786909171271,8,1,4898,32768,408.03,268,0.00,0
1786909177823,8,1,7864,32768,384.00,472,0.00,3
1786909195794,8,1,12964,32768,426.79,840,0.00,6
1786909213629,8,1,16006,32768,636.66,1158,0.00,8
1786909233568,8,1,19267,32768,885.86,1357,0.00,8
1786909243594,8,1,19117,32768,28.11,1408,0.00,8
1786909253004,8,1,19159,32768,292.54,1448,0.00,8
1786909268335,8,1,19502,32768,626.57,1491,0.00,8
1786909275416,8,1,19736,32768,775.85,1525,0.00,8
1786909296466,8,1,20669,32768,27.18,1621,0.00,8
1786909305333,8,1,20658,32768,123.90,1642,0.00,8
1786909313125,8,1,20828,32768,151.13,1648,0.00,8
1786909319361,8,1,20842,32768,177.71,1650,0.00,8
1786909325104,8,1,20831,32768,222.10,1650,0.00,8
1786909331374,8,1,20836,32768,259.41,1656,0.00,8
1786909337458,8,1,20821,32768,287.01,1657,0.00,8
1786909344399,8,1,20817,32768,314.87,1659,0.00,8
1786909352002,8,1,20821,32768,385.60,1668,0.00,8
1786909358503,8,1,20943,32768,407.89,1689,0.00,8
1786909376676,8,1,21706,32768,575.55,1780,0.00,8
1786909394486,8,1,22379,32768,792.38,1833,0.00,8
1786909431695,8,1,22535,32768,288.66,1841,0.00,8
1786909447487,8,1,22539,32768,605.85,1841,0.00,8
1786909457145,8,1,22601,32768,795.25,1854,0.00,8
1786909465027,8,1,22598,32768,951.11,1854,0.00,8
1786909473423,8,1,22602,32768,1012.60,1855,0.00,8
1786909479500,8,1,22607,32768,41.01,1865,0.00,8
1786909485803,8,1,22651,32768,270.42,1872,0.00,8
1786909491748,8,1,22657,32768,369.69,1883,0.00,8
1786909499092,8,1,22616,32768,455.31,1896,0.00,8
1786909516635,8,1,22965,32768,801.47,1933,0.00,8
1786909541959,8,1,23153,32768,208.85,1946,0.00,8
1786909572677,8,1,23156,32768,878.00,1940,0.00,8
1786909589037,8,1,23210,32768,159.53,1940,0.00,8
1786909603162,8,1,23228,32768,516.66,1947,0.00,8
1786909612013,8,1,23266,32768,694.35,1955,0.00,8
1786909620118,8,1,23629,32768,840.41,1965,0.00,8
